"state","x","y","se","indep_var","dep_var"
"Pennsylvania",0.2533,0.0554626285285953,0.00797460548710548,"fraction_long_edges_bracket_mean","num_devices"
"Pennsylvania",0.2877,0.0983756363769785,0.00854093360268427,"fraction_long_edges_bracket_mean","num_devices"
"Pennsylvania",0.3272,0.12407700555366,0.00889153916092036,"fraction_long_edges_bracket_mean","num_devices"
"Pennsylvania",0.376,0.142222943110319,0.00919388234624359,"fraction_long_edges_bracket_mean","num_devices"
"Pennsylvania",0.4447,0.177452407152437,0.0109550628319123,"fraction_long_edges_bracket_mean","num_devices"
"Pennsylvania",0.5998,0.229863075525493,0.0192749011996966,"fraction_long_edges_bracket_mean","num_devices"
"Illinois",0.0539,-0.0910389991671625,0.0106018319656953,"fraction_long_edges_bracket_mean","num_devices"
"Illinois",0.0983,-0.0596091081519745,0.00929540790077035,"fraction_long_edges_bracket_mean","num_devices"
"Illinois",0.1305,-0.0293479823035483,0.00903410056008962,"fraction_long_edges_bracket_mean","num_devices"
"Illinois",0.1594,0,0,"fraction_long_edges_bracket_mean","num_devices"
"Illinois",0.188,0.0111386826881179,0.00831014343213799,"fraction_long_edges_bracket_mean","num_devices"
"Illinois",0.2176,0.0361147022717607,0.00850908828003206,"fraction_long_edges_bracket_mean","num_devices"
"Illinois",0.2487,0.0618392766532008,0.00840021496256887,"fraction_long_edges_bracket_mean","num_devices"
"Illinois",0.2836,0.0806700344549833,0.00878127598339734,"fraction_long_edges_bracket_mean","num_devices"
"Illinois",0.3241,0.120211130574301,0.00923591492725103,"fraction_long_edges_bracket_mean","num_devices"
"Illinois",0.3748,0.152466554073609,0.0102591519871373,"fraction_long_edges_bracket_mean","num_devices"
"Illinois",0.4451,0.187327980121873,0.0120303447165219,"fraction_long_edges_bracket_mean","num_devices"
"Illinois",0.6022,0.213867305200088,0.0178022789760446,"fraction_long_edges_bracket_mean","num_devices"
"Texas",0.0595,-0.0933674163643112,0.00661060159420741,"fraction_long_edges_bracket_mean","num_devices"
"Texas",0.1094,-0.0489971504154689,0.00631151754417674,"fraction_long_edges_bracket_mean","num_devices"
"Texas",0.144,-0.0116147662809554,0.00583869662346378,"fraction_long_edges_bracket_mean","num_devices"
"Texas",0.1749,0,0,"fraction_long_edges_bracket_mean","num_devices"
"Texas",0.2047,0.0427438003313947,0.00562702542618256,"fraction_long_edges_bracket_mean","num_devices"
"Texas",0.2336,0.0660120618877844,0.00571362809527439,"fraction_long_edges_bracket_mean","num_devices"
"Texas",0.2655,0.0875725188082268,0.00558084219322658,"fraction_long_edges_bracket_mean","num_devices"
"Texas",0.3021,0.105275601179674,0.00593136188742695,"fraction_long_edges_bracket_mean","num_devices"
"Texas",0.343,0.13219247772061,0.0060022004899279,"fraction_long_edges_bracket_mean","num_devices"
"Texas",0.3943,0.152465400895975,0.00645997748306478,"fraction_long_edges_bracket_mean","num_devices"
"Texas",0.466,0.188813761912868,0.00754454218805779,"fraction_long_edges_bracket_mean","num_devices"
"Texas",0.6239,0.200973114087797,0.00934995285333838,"fraction_long_edges_bracket_mean","num_devices"
"Florida",0.0734,-0.0759224715161859,0.00826606786374398,"fraction_long_edges_bracket_mean","num_devices"
"Florida",0.1321,-0.0460218057875648,0.00720997642801424,"fraction_long_edges_bracket_mean","num_devices"
"Florida",0.17,-0.0230240714058279,0.00693090039828064,"fraction_long_edges_bracket_mean","num_devices"
"Florida",0.2025,0,0,"fraction_long_edges_bracket_mean","num_devices"
"Florida",0.2328,0.0211618953261459,0.0071485135018265,"fraction_long_edges_bracket_mean","num_devices"
"Florida",0.2639,0.0432003082219401,0.00682565688400889,"fraction_long_edges_bracket_mean","num_devices"
"Florida",0.2972,0.0581858438084706,0.00696912677740495,"fraction_long_edges_bracket_mean","num_devices"
"Florida",0.3334,0.0695685009043787,0.00712426955315696,"fraction_long_edges_bracket_mean","num_devices"
"Florida",0.3744,0.103761965853398,0.00761648582749339,"fraction_long_edges_bracket_mean","num_devices"
"Florida",0.4254,0.120415004932136,0.00796011063861157,"fraction_long_edges_bracket_mean","num_devices"
"Florida",0.496,0.142774181057874,0.0090073805903158,"fraction_long_edges_bracket_mean","num_devices"
"Florida",0.6487,0.171432709361518,0.0105714916889612,"fraction_long_edges_bracket_mean","num_devices"
"California",0.0917,-0.0949659257796163,0.00625402058851266,"fraction_long_edges_bracket_mean","num_devices"
"California",0.1534,-0.061008443075655,0.00603871738445498,"fraction_long_edges_bracket_mean","num_devices"
"California",0.193,-0.0258281111853087,0.00600978367671448,"fraction_long_edges_bracket_mean","num_devices"
"California",0.2273,0,0,"fraction_long_edges_bracket_mean","num_devices"
"California",0.2603,0.0236311288666413,0.00578551167694364,"fraction_long_edges_bracket_mean","num_devices"
"California",0.2934,0.0411090121776452,0.00569870634181154,"fraction_long_edges_bracket_mean","num_devices"
"California",0.3282,0.0690840791780212,0.0057284500139228,"fraction_long_edges_bracket_mean","num_devices"
"California",0.3661,0.0933367607731186,0.00579357286991807,"fraction_long_edges_bracket_mean","num_devices"
"California",0.4096,0.113626177963846,0.00588553032463705,"fraction_long_edges_bracket_mean","num_devices"
"California",0.4618,0.1464875037791,0.00650074905592534,"fraction_long_edges_bracket_mean","num_devices"
"California",0.5348,0.183418705710229,0.00716153501531249,"fraction_long_edges_bracket_mean","num_devices"
"California",0.6877,0.221263448340508,0.0112158509420354,"fraction_long_edges_bracket_mean","num_devices"
"New York",0.0614,-0.0845744476170411,0.00940758719274403,"fraction_long_edges_bracket_mean","num_devices"
"New York",0.1075,-0.0519510208221785,0.00914137810402931,"fraction_long_edges_bracket_mean","num_devices"
"New York",0.14,-0.0418521097819791,0.00832079841767212,"fraction_long_edges_bracket_mean","num_devices"
"New York",0.1702,0,0,"fraction_long_edges_bracket_mean","num_devices"
"New York",0.1991,0.0204290249970658,0.00810180300795314,"fraction_long_edges_bracket_mean","num_devices"
"New York",0.2295,0.0322032270061157,0.00784031006300555,"fraction_long_edges_bracket_mean","num_devices"
"New York",0.2621,0.0630299654146302,0.00809256222102175,"fraction_long_edges_bracket_mean","num_devices"
"New York",0.2988,0.0871547201294582,0.00800736976857296,"fraction_long_edges_bracket_mean","num_devices"
"New York",0.3421,0.108037500292431,0.00851321477524054,"fraction_long_edges_bracket_mean","num_devices"
"New York",0.3948,0.1548779288103,0.010138991448753,"fraction_long_edges_bracket_mean","num_devices"
"New York",0.4705,0.182697444364246,0.0145241566735933,"fraction_long_edges_bracket_mean","num_devices"
"New York",0.6364,0.242671104522111,0.0158560108117674,"fraction_long_edges_bracket_mean","num_devices"
"Pennsylvania",0.0611,-0.231300131729953,0.0134231838162265,"fraction_long_edges_bracket_mean","num_donations"
"Pennsylvania",0.1073,-0.149238666862757,0.012811016808207,"fraction_long_edges_bracket_mean","num_donations"
"Pennsylvania",0.139,-0.0787039234143312,0.0131267655200894,"fraction_long_edges_bracket_mean","num_donations"
"Pennsylvania",0.1673,0,0,"fraction_long_edges_bracket_mean","num_donations"
"Pennsylvania",0.195,0.0605493776741239,0.0155800018353985,"fraction_long_edges_bracket_mean","num_donations"
"Pennsylvania",0.2232,0.0762641352928767,0.015452320004568,"fraction_long_edges_bracket_mean","num_donations"
"Pennsylvania",0.2533,0.134482428135987,0.0168950480154086,"fraction_long_edges_bracket_mean","num_donations"
"Pennsylvania",0.2877,0.163267192355905,0.0189755922483736,"fraction_long_edges_bracket_mean","num_donations"
"Pennsylvania",0.3272,0.250963223225358,0.0221560945829833,"fraction_long_edges_bracket_mean","num_donations"
"Pennsylvania",0.376,0.252756873574492,0.0278321718590598,"fraction_long_edges_bracket_mean","num_donations"
"Pennsylvania",0.4447,0.323646616778177,0.0377303033430712,"fraction_long_edges_bracket_mean","num_donations"
"Pennsylvania",0.5998,0.229281071838846,0.0449143898240929,"fraction_long_edges_bracket_mean","num_donations"
"Illinois",0.0539,-0.211169706441048,0.0181233924203768,"fraction_long_edges_bracket_mean","num_donations"
"Illinois",0.0983,-0.132575407040684,0.0132026863685938,"fraction_long_edges_bracket_mean","num_donations"
"Illinois",0.1305,-0.0487580642679616,0.0138511787994257,"fraction_long_edges_bracket_mean","num_donations"
"Illinois",0.1594,0,0,"fraction_long_edges_bracket_mean","num_donations"
"Illinois",0.188,0.0911247794611783,0.0164203583487631,"fraction_long_edges_bracket_mean","num_donations"
"Illinois",0.2176,0.149835669330963,0.0183145887072381,"fraction_long_edges_bracket_mean","num_donations"
"Illinois",0.2487,0.182753502903816,0.0240449954263756,"fraction_long_edges_bracket_mean","num_donations"
"Illinois",0.2836,0.235102125411809,0.0215905830786291,"fraction_long_edges_bracket_mean","num_donations"
"Illinois",0.3241,0.285469926762962,0.0221899508525618,"fraction_long_edges_bracket_mean","num_donations"
"Illinois",0.3748,0.346018634274015,0.0386090013472602,"fraction_long_edges_bracket_mean","num_donations"
"Illinois",0.4451,0.324532437402786,0.0354809162615562,"fraction_long_edges_bracket_mean","num_donations"
"Illinois",0.6022,0.362236959488428,0.0828833945710588,"fraction_long_edges_bracket_mean","num_donations"
"Texas",0.0595,-0.239278601024343,0.00788693772290461,"fraction_long_edges_bracket_mean","num_donations"
"Texas",0.1094,-0.133724573822202,0.00822893047745798,"fraction_long_edges_bracket_mean","num_donations"
"Texas",0.144,-0.0681780334054428,0.00825175672356603,"fraction_long_edges_bracket_mean","num_donations"
"Texas",0.1749,0,0,"fraction_long_edges_bracket_mean","num_donations"
"Texas",0.2047,0.0482580708253837,0.009357506156214,"fraction_long_edges_bracket_mean","num_donations"
"Texas",0.2336,0.0875815065490507,0.00998426245362039,"fraction_long_edges_bracket_mean","num_donations"
"Texas",0.2655,0.138599611749223,0.0110843265090141,"fraction_long_edges_bracket_mean","num_donations"
"Texas",0.3021,0.178683305071988,0.0137188791361724,"fraction_long_edges_bracket_mean","num_donations"
"Texas",0.343,0.196917339849368,0.0137288770273625,"fraction_long_edges_bracket_mean","num_donations"
"Texas",0.3943,0.226157770129386,0.0153349563537015,"fraction_long_edges_bracket_mean","num_donations"
