"county_fips","mean_degree_bracket","fill_var_bracket","fill_var_bracket_decile","fips"
48363,"16","[0.0083,0.021)","7",48363
48107,"28","[-0.011,-0.0028)","5",48107
5051,"11","[0.021,0.033)","8",5051
6081,"1","[0.0083,0.021)","7",6081
37161,"8","[-0.032,-0.021)","3",37161
17187,"14","[-0.021,-0.011)","4",17187
13193,"29","[-0.046,-0.032)","2",13193
5059,"23","[-0.0028,0.0083)","6",5059
2185,"18","[-0.22,-0.046)","1",2185
21111,"2","[-0.032,-0.021)","3",21111
49047,"2","[-0.22,-0.046)","1",49047
51101,"28","[0.052,0.11]","10",51101
21187,"24","[-0.032,-0.021)","3",21187
22053,"24","[-0.046,-0.032)","2",22053
42097,"7","[-0.021,-0.011)","4",42097
45015,"25","[0.033,0.052)","9",45015
54023,"20","[-0.22,-0.046)","1",54023
55041,"10","[-0.22,-0.046)","1",55041
49051,"3","[0.052,0.11]","10",49051
29021,"2","[-0.22,-0.046)","1",29021
19111,"6","[-0.046,-0.032)","2",19111
6103,"3","[-0.0028,0.0083)","6",6103
29027,"14","[0.021,0.033)","8",29027
51185,"16","[-0.046,-0.032)","2",51185
48267,"22","[-0.021,-0.011)","4",48267
18009,"17","[-0.021,-0.011)","4",18009
16065,"1","[0.052,0.11]","10",16065
13269,"28","[-0.021,-0.011)","4",13269
24027,"16","[0.052,0.11]","10",24027
20197,"24","[0.021,0.033)","8",20197
31091,"26","[-0.011,-0.0028)","5",31091
48201,"1","[0.0083,0.021)","7",48201
51113,"24","[0.0083,0.021)","7",51113
8071,"10","[0.0083,0.021)","7",8071
21037,"18","[0.033,0.052)","9",21037
21039,"28","[-0.021,-0.011)","4",21039
17135,"12","[-0.046,-0.032)","2",17135
40035,"21","[-0.0028,0.0083)","6",40035
21043,"18","[-0.22,-0.046)","1",21043
48349,"14","[-0.021,-0.011)","4",48349
21027,"23","[-0.032,-0.021)","3",21027
1035,"29","[-0.046,-0.032)","2",1035
19189,"11","[-0.011,-0.0028)","5",19189
46075,"26","[-0.011,-0.0028)","5",46075
48361,"21","[-0.011,-0.0028)","5",48361
48309,"4","[-0.021,-0.011)","4",48309
34023,"5","[-0.0028,0.0083)","6",34023
48089,"21","[-0.021,-0.011)","4",48089
51053,"29","[0.021,0.033)","8",51053
41059,"2","[-0.011,-0.0028)","5",41059
54075,"11","[-0.046,-0.032)","2",54075
27161,"8","[0.0083,0.021)","7",27161
27031,"9","[-0.0028,0.0083)","6",27031
22063,"22","[0.033,0.052)","9",22063
37051,"23","[0.052,0.11]","10",37051
37007,"26","[-0.046,-0.032)","2",37007
42071,"2","[0.0083,0.021)","7",42071
45051,"18","[0.033,0.052)","9",45051
47007,"16","[-0.021,-0.011)","4",47007
31063,"23","[0.0083,0.021)","7",31063
48079,"27","[-0.046,-0.032)","2",48079
20181,"9","[-0.021,-0.011)","4",20181
6061,"6","[0.052,0.11]","10",6061
51057,"28","[-0.0028,0.0083)","6",51057
17159,"8","[-0.046,-0.032)","2",17159
41067,"2","[0.033,0.052)","9",41067
47077,"21","[-0.046,-0.032)","2",47077
18095,"9","[-0.0028,0.0083)","6",18095
12131,"19","[0.052,0.11]","10",12131
12129,"22","[0.033,0.052)","9",12129
37009,"10","[-0.021,-0.011)","4",37009
21093,"20","[0.033,0.052)","9",21093
22041,"22","[-0.22,-0.046)","1",22041
23025,"11","[-0.011,-0.0028)","5",23025
13065,"26","[-0.22,-0.046)","1",13065
17083,"20","[-0.032,-0.021)","3",17083
48157,"19","[0.052,0.11]","10",48157
21147,"7","[-0.22,-0.046)","1",21147
35059,"17","[-0.046,-0.032)","2",35059
55123,"10","[0.0083,0.021)","7",55123
47179,"13","[0.033,0.052)","9",47179
50025,"9","[0.021,0.033)","8",50025
29025,"22","[-0.0028,0.0083)","6",29025
51001,"21","[-0.046,-0.032)","2",51001
47113,"25","[-0.0028,0.0083)","6",47113
20163,"18","[-0.021,-0.011)","4",20163
5041,"28","[-0.046,-0.032)","2",5041
6041,"2","[0.052,0.11]","10",6041
6109,"5","[0.021,0.033)","8",6109
19179,"3","[-0.046,-0.032)","2",19179
25003,"1","[-0.046,-0.032)","2",25003
1017,"27","[-0.046,-0.032)","2",1017
13195,"27","[0.033,0.052)","9",13195
54083,"8","[-0.22,-0.046)","1",54083
22093,"30","[-0.032,-0.021)","3",22093
47143,"9","[-0.011,-0.0028)","5",47143
37041,"25","[-0.011,-0.0028)","5",37041
37153,"14","[-0.046,-0.032)","2",37153
37177,"28","[-0.021,-0.011)","4",37177
41011,"2","[-0.0028,0.0083)","6",41011
29161,"7","[-0.0028,0.0083)","6",29161
29165,"26","[0.052,0.11]","10",29165
30103,"20","[0.021,0.033)","8",30103
48109,"15","[-0.22,-0.046)","1",48109
33005,"6","[0.021,0.033)","8",33005
47033,"30","[0.0083,0.021)","7",47033
8089,"7","[-0.046,-0.032)","2",8089
47101,"13","[-0.22,-0.046)","1",47101
12011,"2","[0.033,0.052)","9",12011
18003,"2","[-0.011,-0.0028)","5",18003
